INFO 2025-02-28 14:58:30,157 autoreload Watching for file changes with StatReloader
DEBUG 2025-02-28 14:58:30,157 autoreload Waiting for apps ready_event.
DEBUG 2025-02-28 14:58:36,721 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-02-28 14:58:36,781 autoreload Watching dir C:\Users\ASUS\Documents\GitHub\moving_service\users\templates\users with glob **/*.
DEBUG 2025-02-28 14:58:36,782 autoreload Watching dir C:\Users\ASUS\AppData\Local\Programs\Python\Python310\lib\site-packages\colorfield\templates with glob **/*.
DEBUG 2025-02-28 14:58:36,782 autoreload Watching dir C:\Users\ASUS\AppData\Local\Programs\Python\Python310\lib\site-packages\django_extensions\templates with glob **/*.
DEBUG 2025-02-28 14:58:36,782 autoreload Watching dir C:\Users\ASUS\Documents\GitHub\moving_service\users\templates with glob **/*.
DEBUG 2025-02-28 14:58:36,782 autoreload Watching dir C:\Users\ASUS\AppData\Local\Programs\Python\Python310\lib\site-packages\admin_interface\templates with glob **/*.
DEBUG 2025-02-28 14:58:36,782 autoreload Watching dir C:\Users\ASUS\Documents\GitHub\moving_service\users\templates\registration with glob **/*.
DEBUG 2025-02-28 14:58:36,783 autoreload Watching dir C:\Users\ASUS\Documents\GitHub\moving_service\locale with glob **/*.mo.
DEBUG 2025-02-28 14:58:36,783 autoreload Watching dir C:\Users\ASUS\AppData\Local\Programs\Python\Python310\lib\site-packages\django_extensions\locale with glob **/*.mo.
DEBUG 2025-02-28 14:58:36,783 autoreload Watching dir C:\Users\ASUS\AppData\Local\Programs\Python\Python310\lib\site-packages\admin_interface\locale with glob **/*.mo.
DEBUG 2025-02-28 14:58:36,783 autoreload Watching dir C:\Users\ASUS\AppData\Local\Programs\Python\Python310\lib\site-packages\colorfield\locale with glob **/*.mo.
DEBUG 2025-02-28 14:58:36,783 autoreload Watching dir C:\Users\ASUS\AppData\Local\Programs\Python\Python310\lib\site-packages\crispy_forms\locale with glob **/*.mo.
DEBUG 2025-02-28 14:58:36,784 autoreload Watching dir C:\Users\ASUS\Documents\GitHub\moving_service\users\locale with glob **/*.mo.
DEBUG 2025-02-28 14:58:36,852 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2025-02-28 14:58:36,855 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2025-02-28 14:58:37,185 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\torch\_ops.py first seen with mtime 1739280446.3768568
DEBUG 2025-02-28 14:58:37,186 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\mimetypes.py first seen with mtime 1633362124.0
DEBUG 2025-02-28 14:58:37,186 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\sympy\logic\inference.py first seen with mtime 1739280371.7557592
DEBUG 2025-02-28 14:58:37,186 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\torch\profiler\_memory_profiler.py first seen with mtime 1739280438.2052965
DEBUG 2025-02-28 14:58:37,186 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\colorfield\metadata.py first seen with mtime 1739280437.0140948
DEBUG 2025-02-28 14:58:37,186 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\sympy\printing\preview.py first seen with mtime 1739280372.055418
DEBUG 2025-02-28 14:58:37,187 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1739280507.6505795
DEBUG 2025-02-28 14:58:37,187 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\linalg\__init__.py first seen with mtime 1739280400.0102575
DEBUG 2025-02-28 14:58:37,187 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\shutil.py first seen with mtime 1633362124.0
DEBUG 2025-02-28 14:58:37,187 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\torch\quantization\fuser_method_mappings.py first seen with mtime 1739280438.20031
DEBUG 2025-02-28 14:58:37,187 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\lib\_version.py first seen with mtime 1739280399.9892495
DEBUG 2025-02-28 14:58:37,187 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\sympy\polys\polyquinticconst.py first seen with mtime 1739280371.980418
DEBUG 2025-02-28 14:58:37,187 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\stripe\_account_service.py first seen with mtime 1739280472.6031723
DEBUG 2025-02-28 14:58:37,187 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\torch\utils\_traceback.py first seen with mtime 1739280438.0979118
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\torch\_subclasses\fake_utils.py first seen with mtime 1739280446.12866
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\yaml\dumper.py first seen with mtime 1739280395.704796
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\dateutil\parser\isoparser.py first seen with mtime 1739280433.8395734
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\numpy\compat\__init__.py first seen with mtime 1739280399.7242496
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\stripe\_identity_service.py first seen with mtime 1739280472.6382904
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\sympy\solvers\deutils.py first seen with mtime 1739280372.121418
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\sympy\functions\special\error_functions.py first seen with mtime 1739280371.6987598
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\stripe\radar\_early_fraud_warning_service.py first seen with mtime 1739280472.819108
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1739280507.8056087
DEBUG 2025-02-28 14:58:37,188 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\dis.py first seen with mtime 1633362124.0
DEBUG 2025-02-28 14:58:37,189 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\torch\_utils_internal.py first seen with mtime 1739280446.3688574
DEBUG 2025-02-28 14:58:37,189 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\setuptools\_vendor\jaraco\functools\__init__.py first seen with mtime 1739280392.2269216
DEBUG 2025-02-28 14:58:37,189 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\wsgiref\headers.py first seen with mtime 1633362126.0
DEBUG 2025-02-28 14:58:37,189 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python310\Lib\site-packages\geopy\units.py first seen with mtime 1739284033.397156
